zone,countryIt,countryEn
Zona 1,Albania,Albania
Zona 1,Andorra,Andorra
Zona 1,Austria,Austria
Zona 1,Azzorre,Azores
Zona 1,Belgio,Belgium
Zona 1,Bielorussia,Belarus
Zona 1,Bosnia-Erzegovina,Bosnia Herzegovina
Zona 1,Bulgaria,Bulgaria
Zona 1,Cipro,Cyprus
Zona 1,Croazia,Croatia
Zona 1,Danimarca,Denmark
Zona 1,Estonia,Estonia
Zona 1,Faroe (Isole),Faroe Islands
Zona 1,Finlandia,Finland
Zona 1,Francia,France
Zona 1,Germania,Germany
Zona 1,Gibilterra,Gibraltar
Zona 1,Gran Bretagna e Irlanda del Nord,Great Britain and Northern Ireland
Zona 1,Grecia,Greece
Zona 1,Guernsey,Guernsey
Zona 1,Irlanda,Ireland
Zona 1,Islanda,Iceland
Zona 1,Jersey,Jersey
Zona 1,Lettonia,Latvia
Zona 1,Liechtenstein,Liechtenstein
Zona 1,Lituania,Lithuania
Zona 1,Lussemburgo,Luxembourg
Zona 1,Macedonia del Nord,North Macedonia
Zona 1,Malta,Malta
Zona 1,Man Isole - Gran Bretagna UE,Man Islands - Great Britain EU
Zona 1,Moldavia,Moldova
Zona 1,Monaco,Monk
Zona 1,Montenegro,Montenegro
Zona 1,Norvegia,Norway
Zona 1,Olanda,Holland
Zona 1,Polonia,Poland
Zona 1,Portogallo,Portugal
Zona 1,Repubblica Ceca,Czech Republic
Zona 1,Repubblica San Marino,Republic of San Marino
Zona 1,Romania,Romania
Zona 1,Russia,Russia
Zona 1,Serbia,Serbia
Zona 1,Slovacchia,Slovakia
Zona 1,Slovenia,Slovenia
Zona 1,Spagna,Spain
Zona 1,Svezia,Sweden
Zona 1,Svizzera,Swiss
Zona 1,Turchia,Turkey
Zona 1,Ucraina,Ukraine
Zona 1,Ungheria,Hungary
Zona 1,Vaticano,Vatican
Zona 1,Algeria,Algeria
Zona 1,Egitto,Egypt
Zona 1,Giordania,Jordan
Zona 1,Israele,Israel
Zona 1,Libano,Lebanon
Zona 1,Libia,Libya
Zona 1,Marocco,Morocco
Zona 1,Tunisia,Tunisia
Zona 2,Angola,Angola
Zona 2,Ascension - Isole (Uk),Ascension - Islands (UK)
Zona 2,Benin,Benin
Zona 2,Botswana,Botswana
Zona 2,Burkina Faso,Burkina Faso
Zona 2,Burundi,Burundi
Zona 2,Camerun,Cameroon
Zona 2,Capo Verde,Cape Verde
Zona 2,Ciad,Chad
Zona 2,Comore,Comoros
Zona 2,Congo (Rep. Popolare),Congo (People's Republic)
Zona 2,Costa D'Avorio,Ivory Coast
Zona 2,Eritrea,Eritrea
Zona 2,Etiopia,Ethiopia
Zona 2,Gabon,Gabon
Zona 2,Gambia,Gambia
Zona 2,Ghana,Ghana
Zona 2,Gibuti,Djibouti
Zona 2,Guinea,Guinea
Zona 2,Guinea Bissau,Guinea Bissau
Zona 2,Giunea Equatoriale,Equatorial Junea
Zona 2,Kenya,Kenya
Zona 2,Lesotho,Lesotho
Zona 2,Liberia,Liberia
Zona 2,Madagascar,Madagascar
Zona 2,Malawi,Malawi
Zona 2,Mali,Mali
Zona 2,Mauritania,Mauritania
Zona 2,Mauritius,Mauritius
Zona 2,Mayotte,Mayotte
Zona 2,Mozambico,Mozambique
Zona 2,Namibia,Namibia
Zona 2,Niger,Niger
Zona 2,Nigeria,Nigeria
Zona 2,Repubblica Centrafricana,Central African Republic
Zona 2,Repubblica Del Congo,Republic of the Congo
Zona 2,Reunion (Isole),Reunion (Islands)
Zona 2,Ruanda,Rwanda
Zona 2,Sant'Elena (Isola Di),Saint Helena (Island Of)
Zona 2,S. Tommaso E Principe,St. Thomas and Prince
Zona 2,Senegal,Senegal
Zona 2,Seychelles,Seychelles
Zona 2,Sierra Leone,Sierra Leone
Zona 2,Sud Africa,South Africa
